CSIsym,Date,Open,High,Low,Close,Volume,Open Interest,Contract,Seasonality,TR1,TR2,TR3,TR,Multiplier,Contract Value,ATR20,USD ATR,Target volatility,Account Size,QTY,% Change,Daily P&L,Risk On,Risk Off,Prev 1,Anti Prev 1,Prev 5,Low Eq,High Eq,Anti HE,Anti 50,Sea,Anti Sea
BO,20171226,33.01,33.55,33.01,33.42,52451,211036,201803,3.33,0.54000,0.61000,0.07000,0.61000,600,20052,0.51161,306.9684105,500,5000,1,0.014571949,288,-1,1,1,-1,-1,0,1,-1,-1,-1,1
BO,20171227,33.44,33.66,33.2,33.27,62704,210889,201803,3.33,0.46000,0.24000,0.22000,0.46000,600,19962,0.51201,307.2078903,500,5000,1,-0.00448833,-90,1,-1,-1,1,1,0,1,-1,0,-1,1
BO,20171228,33.26,33.32,32.52,32.71,69235,215909,201803,3.33,0.80000,0.05000,0.75000,0.80000,600,19626,0.53243,319.4554398,500,5000,1,-0.016831981,-336,1,-1,-1,1,-1,1,-1,1,-1,-1,1
BO,20171229,32.71,33.37,32.6,33.26,55447,215151,201803,3.31,0.77000,0.66000,0.11000,0.77000,600,19956,0.51869,311.2155711,500,5000,1,0.01681443,330,-1,1,1,-1,-1,-1,1,-1,1,-1,1
BO,20180102,33.39,33.62,33.23,33.55,44415,216815,201803,3.32,0.39000,0.36000,0.03000,0.39000,600,20130,0.51559,309.3550512,500,5000,1,0.008719182,174,-1,1,1,-1,1,-1,1,-1,0,0,0
BO,20180103,33.54,33.91,33.52,33.9,51227,218765,201803,3.2,0.39000,0.36000,0.03000,0.39000,600,20340,0.50797,304.7824272,500,5000,1,0.010432191,210,-1,1,1,-1,1,1,-1,1,1,0,0
BO,20180104,33.82,33.98,33.7,33.87,51139,215202,201803,3.27,0.28000,0.08000,0.20000,0.28000,600,20322,0.50439,302.635356,500,5000,1,-0.000884956,-18,1,-1,-1,1,1,1,0,0,-1,-1,1
BO,20180105,33.86,34.1,33.7,33.76,41163,213288,201803,3.26,0.40000,0.23000,0.17000,0.40000,600,20256,0.49727,298.3627317,500,5000,1,-0.003247712,-66,1,-1,-1,1,1,0,0,0,0,1,-1
BO,20180108,33.74,33.89,33.29,33.54,58852,214313,201803,3.29,0.60000,0.13000,0.47000,0.60000,600,20124,0.49764,298.5833832,500,5000,1,-0.006516588,-132,1,-1,-1,1,1,0,1,-1,1,-1,1
BO,20180109,33.56,33.76,33.34,33.7,53592,212971,201803,3.28,0.42000,0.22000,0.20000,0.42000,600,20220,0.48750,292.5,500,5000,1,0.004770423,96,-1,1,1,-1,1,0,1,-1,1,-1,1
BO,20180110,33.65,33.83,33.23,33.45,48896,216271,201803,3.24,0.60000,0.13000,0.47000,0.60000,600,20070,0.49950,299.7,500,5000,1,-0.007418398,-150,-1,1,-1,1,1,-1,-1,1,0,-1,1
BO,20180111,33.45,33.55,33.08,33.15,55170,212958,201803,3.27,0.47000,0.10000,0.37000,0.47000,600,19890,0.49600,297.6,500,5000,1,-0.00896861,-180,-1,1,-1,1,-1,-1,0,0,0,0,0
BO,20180112,33.08,33.4,32.83,33.13,62735,212958,201803,3.29,0.57000,0.25000,0.32000,0.57000,600,19878,0.50000,300,500,5000,1,-0.000603318,-12,1,-1,-1,1,-1,1,1,-1,-1,0,0
